ListNumber,SourceType,QuestionText,AnswerFormat,CorrectAnswer,German,English,IfWrong_practice_skills,Ifwrong_skip,Notes,SkipGroup,Zahlenraum,AudioAsset,Hilfetext
301,Text,"6 = 4 + __",Single,2,"6 = 4 + __","6 = 4 + __",decompose_single_digit,,"v3 legacy-derived (iMINT Testkarte 6); fresh number (6) instead of iMINT's 7; supersedes clean-room v1 LN16 (8 = 5 + 3, therefore 8 = 3 + __, same flexible-decomposition-recall format)",,ZR10,,
302,Text,"4 + __ = 10",Single,6,"4 + __ = 10","4 + __ = 10",complete_to_10,,"v3 legacy-derived (iMINT Testkarte 7); item a of 3; supersedes clean-room v1 LN13 (10 = 3 + ___, same completion format)",,ZR10,,
303,Text,"7 + __ = 10",Single,3,"7 + __ = 10","7 + __ = 10",complete_to_10,,"v3 legacy-derived (iMINT Testkarte 7); item b of 3",,ZR10,,
304,Text,"__ + 8 = 10",Single,2,"__ + 8 = 10","__ + 8 = 10",complete_to_10,,"v3 legacy-derived (iMINT Testkarte 7); item c of 3 -- gap at start",,ZR10,,
305,Text,"13 + __ = 20",Single,7,"13 + __ = 20","13 + __ = 20",complete_to_20,,"v3 legacy-derived (iMINT Testkarte 7); item a of 3",,ZR20,,
306,Text,"__ + 15 = 20",Single,5,"__ + 15 = 20","__ + 15 = 20",complete_to_20,,"v3 legacy-derived (iMINT Testkarte 7); item b of 3 -- gap at start",,ZR20,,
307,Text,"20 - __ = 12",Single,8,"20 - __ = 12","20 - __ = 12",complete_to_20,,"v3 legacy-derived (iMINT Testkarte 7); item c of 3 -- subtraction-framed completion",,ZR20,,
308,Text,"76 + __ = 100",Single,24,"76 + __ = 100","76 + __ = 100",complete_to_100,,"v3 legacy-derived (Arbeitskarte 16 gap skill; step-3 cross-check); natural ZR100 extension of complete_to_20 (Testkarte 7); ordered next to complete_to_10/20 rather than after the visual items (2026-09-12 reorder per Jakob's feedback)",,ZR100,,
309,Image,V3D-01,Single,6,"Wie viele Punkte siehst du?","How many dots do you see?",structured_quantity_recognition_zr10,,"v3 legacy-derived (iMINT Testkarte 8); item a of 4; ordered dot arrangement (CountingDotsWidget structured=true), not a frame apparatus",,ZR10,,
310,Image,V3D-02,Single,8,"Wie viele Punkte siehst du?","How many dots do you see?",structured_quantity_recognition_zr10,,"v3 legacy-derived (iMINT Testkarte 8); item b of 4",,ZR10,,
311,Image,V3D-03,Single,9,"Wie viele Punkte siehst du?","How many dots do you see?",structured_quantity_recognition_zr10,,"v3 legacy-derived (iMINT Testkarte 8); item c of 4",,ZR10,,
312,Image,V3D-04,Single,3,"Wie viele Punkte siehst du?","How many dots do you see?",structured_quantity_recognition_zr10,,"v3 legacy-derived (iMINT Testkarte 8); item d of 4",,ZR10,,
313,Image,V3D-05,Single,14,"Wie viele Punkte siehst du?","How many dots do you see?",structured_quantity_recognition_zr20,,"v3 legacy-derived (Arbeitskarte 8 gap skill; step-3 cross-check); natural ZR20 extension of Testkarte 8 (ZR10 only); ordered next to its ZR10 sibling",,ZR20,,
314,Image,V3D-06,Single,13,"Wie viele Perlen sind auf dem Rechenschiffchen zu sehen?","How many beads can you see on the calculation boat?",quick_recognition_rechenschiffchen_zr20,,"v3 legacy-derived (iMINT Testkarte 9); item a of 4",,ZR20,,
315,Image,V3D-07,Single,17,"Wie viele Perlen sind auf dem Rechenschiffchen zu sehen?","How many beads can you see on the calculation boat?",quick_recognition_rechenschiffchen_zr20,,"v3 legacy-derived (iMINT Testkarte 9); item b of 4",,ZR20,,
316,Image,V3D-08,Single,11,"Wie viele Perlen sind auf dem Rechenschiffchen zu sehen?","How many beads can you see on the calculation boat?",quick_recognition_rechenschiffchen_zr20,,"v3 legacy-derived (iMINT Testkarte 9); item c of 4",,ZR20,,
317,Image,V3D-09,Single,19,"Wie viele Perlen sind auf dem Rechenschiffchen zu sehen?","How many beads can you see on the calculation boat?",quick_recognition_rechenschiffchen_zr20,,"v3 legacy-derived (iMINT Testkarte 9); item d of 4",,ZR20,,
318,Image,V3D-10,Single,100,"Wie viele Punkte sind im vollen Hunderterfeld?","How many dots are in the full hundred-field?",dot_field_full,,"v3 legacy-derived (iMINT Testkarte 12)",,ZR100,,
319,Image,V3D-11,Single,14,"Wie viele Punkte siehst du im Hunderterfeld?","How many dots do you see in the hundred-field?",dot_field_small,,"v3 legacy-derived (iMINT Testkarte 12)",,ZR100,,
320,Image,V3D-12,Single,78,"Wie viele Punkte siehst du im Hunderterfeld?","How many dots do you see in the hundred-field?",dot_field_large,,"v3 legacy-derived (iMINT Testkarte 12)",,ZR100,,
321,Image,V3D-13,Single,97,"Wie viele Punkte siehst du im Hunderterfeld?","How many dots do you see in the hundred-field?",dot_field_near_max,,"v3 legacy-derived (iMINT Testkarte 12); requires ""what's missing"" reasoning, qualitatively harder than the other three dot-field items",,ZR100,,
