ListNumber,SourceType,QuestionText,AnswerFormat,CorrectAnswer,German,English,IfWrong_practice,Ifwrong_skip
1,Image,img2113.jpg,Single,8,Wie viele kreise siehst du?,How many circles do you see?,"1, 2",
2,Image,img2114.jpg,Single,17,Wie viele kreise siehst du?,How many circles do you see?,"1, 2",
3,Text,8,multiple,"9, 10, 11, 12, 13, 14, 15",Zähle in Einer-Schritten vorwärts!,Count forward from the number 8.,"3, 4",
4,Text,12,multiple,"12, 11, 10 , 9, 8, 7, 6",Zähle in Einer-Schritten rückwärts!,Count backward from the number 12,"3, 4",
5,Text,66,multiple,"66, 67, 68, 69, 70, 71, 72,",Zähle in Einer-Schritten vorwärts!,Count forward from the number 66.,"3, 4",
6,Text,100,multiple,"100, 99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89",Zähle in Einer-Schritten rückwärts!,Count backward from the number 100.,"3, 4",
7,Text,10,Single,11,Welche Zahl kommt beim Zählen nach der 10?,"While counting, which number comes after 10","4, 5",
8,Text,10,Single,9,Welche Zahl kommt beim Zählen vor der 10?,"While counting, what number comes before 10?","4, 5",
9,Text,56,Single,57,Welche Zahl kommt beim Zählen nach der 56?,What number comes after 56?,"4, 5",
10,Text,56,Single,55,Welche Zahl kommt beim Zählen vor der 56?,What number comes before 56?,"4, 5",
11,Text,65,Single,66,Welche Zahl kommt beim Zählen nach der 65?,What number comes after 65?,"4, 5",
12,Text,65,Single,64,Welche Zahl kommt beim Zählen vor der 65?,What number comes before 65?,"4, 5",
13,Text,80,Single,81,Welche Zahl kommt beim Zählen nach der 80?,What number comes after 80?,"4, 5",
14,Text,80,Single,79,Welche Zahl kommt beim Zählen vor der 80?,What number comes before 80?,"4, 5",
15,Text,8,multiple,"8, 10, 12, 14, 16",Zähle in Zweierschritten von 8 aus weiter!,Count forward in steps of two from 8,"6, 7, 8, 9",
16,Text,14,multiple,"14, 12, 10, 8, 6",Zähle in Zweierschritten von 14 aus zurück!,Count backwards in steps of two from 14 ,"6, 7, 8, 9",
17,Text,36,multiple,"36, 38, 40, 42, 44",Zähle in Zweierschritten von 36 aus weiter!,Count forward in steps of two from 36,"6, 7, 8, 9",
18,Text,72,multiple,"72, 70, 68, 66, 64, 62, 60",Zähle in Zweierschritten von 72 aus zurück!,Count backwards in steps of two from 72 ,"6, 7, 8, 9",
19,Cards,,Sort,"4, 9, 12, 14, 22",Ordne die Zahlenkarten. Beginne mit der kleinsten Zahl!,Order the number cards. Start with the smallest number!,"2, 10",
20,Cards,,Sort,"3, 35, 53, 80, 91",Ordne die Zahlenkarten. Beginne mit der kleinsten Zahl!,Order the number cards. Start with the smallest number!,"3, 11",
21,Image,img1986.jpg,Multiple,,Ich habe mit zwei würfeln eine 7 gewürfelt. Was könnte sonst auf den zwei würfeln stehen?,"Together, the two dice show 7. What could the numbers on the dice be?","12, 13, 16, 17, 18",
22,Text,3,Single,7,Wie viele fehlen bis 10,How many are missing until 10?,"14, 18",
23,Text,8,Single,2,Wie viele fehlen bis 10,How many are missing untill 10?,"14, 18",
24,Text,5,Single,5,Wie viele fehlen bis 10,How many are missing until 10?,"14, 18",
25,Text,9,Single,9,Wie viele fehlen bis 20,How many are missing until 20?,"14, 18",
26,Text,11,Single,11,Wie viele fehlen bis 20,How many are missing until 20?,"14, 18",
27,Text,19,Single,19,Wie viele fehlen bis 20,How many are missing until 20?,"14, 18",
28,Image,img1936.jpg,Single,7,Wie viele Plättchen siehst du?,How many circles do you see?,17,
29,Image,img1937.jpg,Single,8,Wie viele Plättchen siehst du?,How many circles do you see?,17,
30,Image,img1938.jpg,Single,6,Wie viele Plättchen siehst du?,How many circles do you see?,17,
31,Image,img1939.jpg,Single,10,Wie viele Plättchen siehst du?,How many circles do you see?,17,
32,Image,img1888.jpg,Single,9,Wie viele grüne Plättchen siehst du?,How many green circles do you see?,"20, 21, 22, 13",
33,Image,img1889.jpg,Single,14,Wie viele grüne Plättchen siehst du?,How many green circles do you see?,"20, 21, 22, 13",
34,Image,img1890.jpg,Single,19,Wie viele grüne Plättchen siehst du?,How many green circles do you see?,"20, 21, 22, 13",
35,Image,img1891.jpg,Single,16,Wie viele grüne Plättchen siehst du?,How many green circles do you see?,"20, 21, 22, 13",
36,Image,img1858.jpg,Single,57,Wie viele sind es insgesamt?,How many are there?,"27, 30, 31. 32",
