ListNumber,Block,TaskCode,Zahlenraum,SourceType,QuestionText,AnswerFormat,CorrectAnswer,German,English,IfWrong_practice_skills,Ifwrong_skip,Notes,PairId
1,1_Zaehlen,1a,ZR10,Text,5,Multiple,"6, 7, 8, 9, 10, 11, 12","Zähle in Einer-Schritten vorwärts ab 5!","Count forward in ones from 5",counting_3,,Forward counting starting low,
2,1_Zaehlen,1a,ZR20,Text,17,Multiple,"18, 19, 20, 21, 22, 23","Zähle in Einer-Schritten vorwärts ab 17!","Count forward in ones from 17",counting_3,,Forward counting across decade,
3,1_Zaehlen,1a,ZR100,Text,32,Multiple,"33, 34, 35, 36, 37, 38","Zähle in Einer-Schritten vorwärts ab 32!","Count forward in ones from 32",counting_3,,Forward counting ZR100,
4,1_Zaehlen,1b,ZR10,Text,7,Multiple,"6, 5, 4, 3, 2, 1","Zähle in Einer-Schritten rückwärts ab 7!","Count backward in ones from 7",counting_3,,Backward counting low,
5,1_Zaehlen,1b,ZR20,Text,18,Multiple,"17, 16, 15, 14, 13, 12","Zähle in Einer-Schritten rückwärts ab 18!","Count backward in ones from 18",counting_3,,Backward counting across decade,
6,1_Zaehlen,1b,ZR100,Text,72,Multiple,"71, 70, 69, 68, 67, 66","Zähle in Einer-Schritten rückwärts ab 72!","Count backward in ones from 72 across decade",counting_3,,Backward counting ZR100 across decade,
7,1_Zaehlen,1c,ZR10,Text,4,Single,3,"Welche Zahl kommt vor der 4?","Which number comes before 4?",counting_4 counting_5,,Predecessor ZR10,
8,1_Zaehlen,1c,ZR100,Text,23,Single,22,"Welche Zahl kommt vor der 23?","Which number comes before 23?",counting_4 counting_5,,Predecessor mid-decade,
9,1_Zaehlen,1c,ZR100,Text,31,Single,30,"Welche Zahl kommt vor der 31?","Which number comes before 31?",counting_4 counting_5,,Predecessor at decade transition,
10,1_Zaehlen,1d,ZR10,Text,6,Single,7,"Welche Zahl kommt nach der 6?","Which number comes after 6?",counting_4 counting_5,,Successor ZR10,
11,1_Zaehlen,1d,ZR100,Text,43,Single,44,"Welche Zahl kommt nach der 43?","Which number comes after 43?",counting_4 counting_5,,Successor mid-decade,
12,1_Zaehlen,1d,ZR100,Text,59,Single,60,"Welche Zahl kommt nach der 59?","Which number comes after 59?",counting_4 counting_5,,Successor at decade transition,
13,1_Zaehlen,1e,ZR10,Text,6,Multiple,"8, 10","Zähle in Zweier-Schritten vorwärts ab 6!","Skip count by 2 from 6",counting_6 counting_7,,Skip count by 2s ZR10,
14,1_Zaehlen,1e,ZR20,Text,7,Multiple,"9, 11, 13, 15","Zähle in Zweier-Schritten vorwärts ab 7!","Skip count by 2 from 7 (odd start)",counting_6 counting_7,,Skip count by 2s odd start,
15,1_Zaehlen,1e,ZR100,Text,22,Multiple,"24, 26, 28, 30, 32","Zähle in Zweier-Schritten vorwärts ab 22!","Skip count by 2 from 22",counting_6 counting_7,,Skip count by 2s across decade,
16,1_Zaehlen,1e,ZR100,Text,57,Multiple,"55, 53, 51, 49, 47","Zähle in Zweier-Schritten rückwärts ab 57!","Skip count back by 2 from 57",counting_6 counting_7,,Skip count by 2s backward odd,
17,1_Zaehlen,1f,ZR100,Text,20,Multiple,"30, 40, 50, 60, 70","Zähle in Zehner-Schritten vorwärts ab 20!","Skip count by 10 from 20",counting_8 counting_9,,Skip count by 10s forward,
18,1_Zaehlen,1f,ZR100,Text,70,Multiple,"60, 50, 40, 30, 20, 10","Zähle in Zehner-Schritten rückwärts ab 70!","Skip count by 10 backward from 70",counting_8 counting_9,,Skip count by 10s backward,
19,1_Zaehlen,1f,ZR100,Text,57,Multiple,"47, 37, 27, 17, 7","Zähle in Zehner-Schritten rückwärts ab 57!","Skip count by 10 backward from 57 (off-decade)",counting_8 counting_9,,Skip count by 10s backward off-decade,
20,1_Zaehlen,1g,ZR100,Text,74 vs 56,Single,74,"Welche Zahl ist größer: 74 oder 56?","Which number is larger: 74 or 56?",place_value_4 place_value_5,,Oral number comparison,
21,1_Zaehlen,1h,ZR100,Text,63 vs 47,Single,63,"Welche Zahl ist größer: 63 oder 47? (Zahlen werden gezeigt)","Which number is larger: 63 or 47? (numbers shown)",place_value_4 place_value_5,,Written number comparison,
22,2_Zahldarstellung,2b_Rechenrahmen,ZR10,Image,placeholder_rr_6.png,Single,6,"Welche Zahl ist am Rechenrahmen eingestellt?","Which number is shown on the calculation rack?",decomposition_6 decomposition_11,,Read Rechenrahmen ZR10,
23,2_Zahldarstellung,2b_Rechenrahmen,ZR20,Image,placeholder_rr_14.png,Single,14,"Welche Zahl ist am Rechenrahmen eingestellt?","Which number is shown on the calculation rack?",decomposition_6 decomposition_11,,Read Rechenrahmen ZR20,
24,2_Zahldarstellung,2b_Rechenrahmen,ZR100,Image,placeholder_rr_43.png,Single,43,"Welche Zahl ist am Rechenrahmen eingestellt?","Which number is shown on the calculation rack?",decomposition_6 decomposition_11,,Read Rechenrahmen ZR100,
25,2_Zahldarstellung,2b_Rechenrahmen,ZR100,Image,placeholder_rr_76.png,Single,76,"Welche Zahl ist am Rechenrahmen eingestellt?","Which number is shown on the calculation rack?",decomposition_6 decomposition_11,,Read Rechenrahmen ZR100,
26,2_Zahldarstellung,2c_RR_quick,ZR10,Image,placeholder_rr_quick_7.png,Single,7,"Welche Zahl hast du gesehen? (kurz gezeigt)","Which number did you see? (briefly shown)",decomposition_6 decomposition_11,,Quick-see Rechenrahmen ZR10,
27,2_Zahldarstellung,2c_RR_quick,ZR10,Image,placeholder_rr_quick_9.png,Single,9,"Welche Zahl hast du gesehen? (kurz gezeigt)","Which number did you see? (briefly shown)",decomposition_6 decomposition_11,,Quick-see Rechenrahmen,
28,2_Zahldarstellung,2c_RR_quick,ZR20,Image,placeholder_rr_quick_16.png,Single,16,"Welche Zahl hast du gesehen? (kurz gezeigt)","Which number did you see? (briefly shown)",decomposition_6 decomposition_11,,Quick-see Rechenrahmen ZR20,
29,2_Zahldarstellung,2c_RR_quick,ZR100,Image,placeholder_rr_quick_23.png,Single,23,"Welche Zahl hast du gesehen? (kurz gezeigt)","Which number did you see? (briefly shown)",decomposition_6 decomposition_11,,Quick-see Rechenrahmen ZR100,
30,2_Zahldarstellung,2e_Zehnersystem,ZR20,Image,placeholder_zs_11.png,Single,11,"Welche Zahl wurde mit den Zehnersystem-Blöcken gelegt?","Which number is shown with the base-10 blocks?",place_value_2 place_value_3,,Read Zehnersystem-Blöcke ZR20,
31,2_Zahldarstellung,2e_Zehnersystem,ZR100,Image,placeholder_zs_23.png,Single,23,"Welche Zahl wurde mit den Zehnersystem-Blöcken gelegt?","Which number is shown with the base-10 blocks?",place_value_2 place_value_3,,Read Zehnersystem-Blöcke,
32,2_Zahldarstellung,2e_Zehnersystem,ZR100,Image,placeholder_zs_30.png,Single,30,"Welche Zahl wurde mit den Zehnersystem-Blöcken gelegt?","Which number is shown with the base-10 blocks?",place_value_2 place_value_3,,Read Zehnersystem (no ones),
33,2_Zahldarstellung,2e_Zehnersystem,ZR100,Image,placeholder_zs_76.png,Single,76,"Welche Zahl wurde mit den Zehnersystem-Blöcken gelegt?","Which number is shown with the base-10 blocks?",place_value_2 place_value_3,,Read Zehnersystem ZR100,
34,2_Zahldarstellung,2f_ZS_quick,ZR10,Image,placeholder_zs_quick_4.png,Single,4,"Welche Zahl hast du gesehen? (kurz gezeigt)","Which number did you see? (briefly shown)",place_value_2,,Quick-see Zehnersystem ZR10,
35,2_Zahldarstellung,2f_ZS_quick,ZR100,Image,placeholder_zs_quick_20.png,Single,20,"Welche Zahl hast du gesehen? (kurz gezeigt)","Which number did you see? (briefly shown)",place_value_2,,Quick-see Zehnersystem decade,
36,2_Zahldarstellung,2f_ZS_quick,ZR100,Image,placeholder_zs_quick_23.png,Single,23,"Welche Zahl hast du gesehen? (kurz gezeigt)","Which number did you see? (briefly shown)",place_value_2,,Quick-see Zehnersystem ZR100,
37,2_Zahldarstellung,2h_Zahlenstrahl,ZR10,Image,placeholder_zstr_6.png,Single,6,"Welche Zahl ist auf dem Zahlenstrahl markiert?","Which number is marked on the number line?",number_line_zahlenstrahl,,Read Zahlenstrahl ZR10,
38,2_Zahldarstellung,2h_Zahlenstrahl,ZR20,Image,placeholder_zstr_14.png,Single,14,"Welche Zahl ist auf dem Zahlenstrahl markiert?","Which number is marked on the number line?",number_line_zahlenstrahl,,Read Zahlenstrahl ZR20,
39,2_Zahldarstellung,2h_Zahlenstrahl,ZR100,Image,placeholder_zstr_43.png,Single,43,"Welche Zahl ist auf dem Zahlenstrahl markiert?","Which number is marked on the number line?",number_line_zahlenstrahl,,Read Zahlenstrahl ZR100,
40,2_Zahldarstellung,2h_Zahlenstrahl,ZR100,Image,placeholder_zstr_78.png,Single,78,"Welche Zahl ist auf dem Zahlenstrahl markiert?","Which number is marked on the number line?",number_line_zahlenstrahl,,Read Zahlenstrahl ZR100,
41,2_Zahldarstellung,2i_Diktat,ZR10,Audio,audio_dictation_9.mp3,Single,9,"Schreibe die Zahl auf, die du hörst!","Write down the number you hear",place_value_4,,Number dictation 9,
42,2_Zahldarstellung,2i_Diktat,ZR20,Audio,audio_dictation_14.mp3,Single,14,"Schreibe die Zahl auf, die du hörst!","Write down the number you hear",place_value_4,,Number dictation 14 (Zahlendreher risk),
43,2_Zahldarstellung,2i_Diktat,ZR100,Audio,audio_dictation_28.mp3,Single,28,"Schreibe die Zahl auf, die du hörst!","Write down the number you hear",place_value_4,,Number dictation 28 (Zahlendreher risk),
44,2_Zahldarstellung,2i_Diktat,ZR100,Audio,audio_dictation_55.mp3,Single,55,"Schreibe die Zahl auf, die du hörst!","Write down the number you hear",place_value_4,,Number dictation 55,
45,2_Zahldarstellung,2i_Diktat,ZR100,Audio,audio_dictation_76.mp3,Single,76,"Schreibe die Zahl auf, die du hörst!","Write down the number you hear",place_value_4,,Number dictation 76 (Zahlendreher risk),
