ListNumber,SourceType,QuestionText,AnswerFormat,CorrectAnswer,German,English,IfWrong_practice_skills,Ifwrong_skip,Notes,SkipGroup,Zahlenraum,AudioAsset,Hilfetext
601,Text,"8 + 7 = __",Single,15,"8 + 7 = __","8 + 7 = __",derive_via_near_double_add,,"v3 legacy-derived (iMINT Testkarte 24); derivable via near-double 7+7=14, +1; supersedes clean-room v1 LN39 (""Wie viel ist 8 plus 7?"", same numbers and the same C2.2 near-double-anchor construct)",,ZR20,,
602,Text,"13 - 6 = __",Single,7,"13 - 6 = __","13 - 6 = __",derive_via_near_double_sub,,"v3 legacy-derived (iMINT Testkarte 24); derivable via near-double 6+6=12, 13 is 1 more",,ZR20,,
603,Text,"6 + 5 = __",Single,11,"6 + 5 = __","6 + 5 = __",derive_via_5_add,,"v3 legacy-derived (iMINT Testkarte 25); derivable via power of 5",,ZR20,,
604,Text,"12 - 5 = __",Single,7,"12 - 5 = __","12 - 5 = __",derive_via_5_sub,,"v3 legacy-derived (iMINT Testkarte 25); derivable via power of 5",,ZR20,,
605,Text,"7 + 9 = __",Single,16,"7 + 9 = __","7 + 9 = __",derive_via_10_add_minus1,,"v3 legacy-derived (iMINT Testkarte 26); 10-1 pattern (9 = 10-1)",,ZR20,,
606,Text,"6 + 11 = __",Single,17,"6 + 11 = __","6 + 11 = __",derive_via_10_add_plus1,,"v3 legacy-derived (iMINT Testkarte 26); 10+1 pattern (11 = 10+1)",,ZR20,,
607,Text,"17 - 9 = __",Single,8,"17 - 9 = __","17 - 9 = __",derive_via_10_sub,,"v3 legacy-derived (iMINT Testkarte 26); derivable via power of 10 (17-10+1)",,ZR20,,
608,Text,"36 + 7 = __",Single,43,"36 + 7 = __","36 + 7 = __",cross_decade_add_zr100_1digit,,"v3 legacy-derived (iMINT Testkarte 27); crosses a decade boundary, 1-digit operand",,ZR100,,
609,Text,"52 - 6 = __",Single,46,"52 - 6 = __","52 - 6 = __",cross_decade_sub_zr100_1digit,,"v3 legacy-derived (iMINT Testkarte 27); crosses a decade boundary, 1-digit operand",,ZR100,,
610,Text,"47 + 26 = __",Single,73,"47 + 26 = __","47 + 26 = __",cross_decade_add_zr100_2digit,,"v3 legacy-derived (iMINT Testkarte 28); crosses a decade boundary, 2-digit operand",,ZR100,,
611,Text,"73 - 38 = __",Single,35,"73 - 38 = __","73 - 38 = __",cross_decade_sub_zr100_2digit,,"v3 legacy-derived (iMINT Testkarte 28); crosses a decade boundary, 2-digit operand; not superseding clean-room v1 LN53 despite matching numbers -- that item is a scaffolded step-by-step process trace (Zerlegungsstrategien), a different diagnostic purpose than this bare-fact probe",,ZR100,,
612,Image,V3K-01,Single,17,"In der Zahlenmauer ist jeder Stein die Summe der zwei Steine darunter (siehe Bild). Was steht ganz oben?","In the number wall, each stone is the sum of the two stones below it (see picture). What is at the very top?",number_wall_zr20,,"v3 legacy-derived (Kombi-Arbeitskarte 9 gap skill; step-3 cross-check); base 4+5=9, 5+3=8, 9+8=17; static widget for now, Jakob asked for an eventual animated +/arrow build-up",,ZR20,,
613,Image,V3K-02,Single,10,"Im Rechendreieck zeigt jede Seite die Summe der beiden Ecken, die sie verbindet (siehe Bild). Was zeigt die untere Seite?","In the calculation triangle, each side shows the sum of the two corners it connects (see picture). What does the bottom side show?",calculation_triangle_zr20,,"v3 legacy-derived (Kombi-Arbeitskarte 10 gap skill; step-3 cross-check); 6+4=10; static widget for now, same animation caveat as the number wall",,ZR20,,
614,Text,"Ist 47 + 38 größer oder kleiner als 100?",Single,kleiner,"Ist 47 + 38 größer oder kleiner als 100?","Is 47 + 38 greater or less than 100?",magnitude_estimate_zr100,,"v3 legacy-derived (Kombi-Arbeitskarte 11/13 gap skill; step-3 cross-check); 47+38=85, tests estimation without needing the exact sum",,ZR100,,
