skill_id,domain,construct_id,color,title_de,title_en,description_de,description_en
A1.1a,A,A1.1,amber,Vorwärtszählen bis 20,Counting forward to 20,"Das Kind zählt von einem beliebigen Startpunkt im Zahlenraum bis 20 fehlerfrei vorwärts weiter und beendet die Zählfolge zuverlässig. Es verliert auch dann nicht den Faden, wenn es mitten in der Reihe beginnt.",The child counts forward from any starting point up to 20 without errors and completes the counting sequence reliably. Starting in the middle of the series does not unsettle the child.
A1.1b,A,A1.1,amber,Vorwärtszählen bis 100,Counting forward to 100,Das Kind setzt das Vorwärtszählen von beliebigen Startpunkten über die Zehnergrenzen hinweg bis in den Hunderterraum fort. Die Zahlenfolge bleibt dabei auch über mehrere Stellenwechsel hinweg stabil.,The child continues counting forward from any starting point across the tens boundaries up to one hundred. The sequence stays stable even across several place-value changes.
A1.2a,A,A1.2,amber,Rückwärtszählen bis 20,Counting backward to 20,"Das Kind zählt von einem beliebigen Startpunkt aus abwärts bis in den Bereich der kleinen Zahlen, ohne die Folge zu unterbrechen. Der Wechsel von einer Zahl zur nächstkleineren gelingt sicher.",The child counts downward from any starting point into the small-number range without breaking the sequence. Moving from one number to the next lower one is done reliably.
A1.2b,A,A1.2,amber,Rückwärtszählen bis 100,Counting backward to 100,Das Kind zählt von Startpunkten im Hunderterraum aus rückwärts und überschreitet dabei die Zehnergrenzen korrekt. Die absteigende Folge gelingt auch über mehrere Stellenwechsel hinweg ohne Abweichung.,"The child counts backward from starting points in the hundreds range, crossing the tens boundaries correctly. The descending sequence stays correct even across several place-value changes."
A1.3,A,A1.3,amber,Zählen in Schritten,Counting in steps,"Das Kind zählt in gleichbleibenden Schritten von zwei, fünf und zehn sowohl vorwärts als auch rückwärts. Es nutzt dabei die rhythmische Struktur der Zahlenreihe und behält das Schrittmaß bei.","The child counts forward and backward in constant steps of two, five and ten. It uses the rhythmic structure of the number sequence and keeps the step size steady."
A1.4,A,A1.4,amber,Vorgänger und Nachfolger bestimmen,Determining predecessor and successor,Das Kind nennt zu einer Zahl ihren unmittelbaren Vorgänger und Nachfolger und belegt damit eine sichere Vorstellung von der Anordnung der Zahlen. Die Aufgabe gelingt auch an Zehnergrenzen wie unmittelbar vor und nach einer vollen Zehn.,"The child names the immediate predecessor and successor of a number, showing a secure grasp of how numbers are ordered. This also works at tens boundaries, such as directly before and after a full ten."
A1.5,A,A1.5,amber,Zählen über den Zehnerübergang,Counting across the tens boundary,"Das Kind zählt flüssig über eine Zehnergrenze hinweg, zum Beispiel von 17 bis 23, ohne an der Übergangsstelle zu stocken. Die Überschreitung der vollen Zehn verläuft ohne Fehler und ohne Pause.","The child counts fluently across a tens boundary, for example from 17 to 23, without hesitating at the crossing point. Passing a full ten happens without errors and without a pause."
A2.1,A,A2.1,amber,Mengen auf einen Blick erfassen,Recognizing quantities at a glance,"Das Kind erkennt kleine Mengen bis etwa vier oder fünf sofort und sicher, ohne sie einzeln abzuzählen. Die Anzahl wird direkt aus dem Gesamteindruck entnommen.","The child recognizes small quantities up to about four or five immediately and reliably, without counting them one by one. The number is read directly from the overall impression."
A2.2,A,A2.2,amber,Mengen über Strukturen erkennen,Recognizing quantities through structures,"Das Kind erfasst Mengen bis zehn über bekannte Anordnungen wie Fünfergruppen, Zweiergruppen oder Zehnerfelder. Bekannte Muster werden genutzt, um die Anzahl ohne langes Abzählen zu bestimmen.","The child grasps quantities up to ten through familiar arrangements such as groups of five, groups of two or ten-frames. Known patterns are used to determine the number without prolonged counting."
A2.3,A,A2.3,amber,Mengen vergleichen,Comparing quantities,"Das Kind vergleicht zwei Mengen und entscheidet zuverlässig, welche größer und welche kleiner ist. Der Vergleich gelingt direkt über die Mengen selbst, ohne vorheriges Abzählen beider Mengen.","The child compares two quantities and decides reliably which is larger and which is smaller. The comparison works directly on the quantities, without counting both first."
A3.1,A,A3.1,amber,Zahlen aus Teilen zusammensetzen,Composing numbers from parts,"Das Kind versteht eine Zahl bis zehn als Zusammensetzung aus zwei Teilen und kann beide Richtungen der Zerlegung anwenden. Aus zwei bekannten Teilen wird das Ganze, aus dem Ganzen werden die Teile bestimmt.","The child understands a number up to ten as a composition of two parts and can apply both directions of decomposition. Two known parts give the whole, and the whole gives its parts."
A3.2,A,A3.2,amber,Zerlegungen einer Zahl finden,Finding decompositions of a number,"Das Kind findet zu einer Zahl mehrere unterschiedliche Zerlegungen und wechselt sicher zwischen verschiedenen Zusammensetzungen derselben Zahl. Dabei nutzt es die Einsicht, dass eine Zahl auf viele Arten in Teile geteilt werden kann.",The child finds several different decompositions of a number and moves confidently between various combinations of the same number. It draws on the insight that a number can be split into parts in many ways.
A3.3,A,A3.3,amber,Zahlbeziehungen nutzen,Using number relationships,"Das Kind verbindet Zahlen über Verdopplungen, Halbierungen und Nachbarzahlen miteinander. Aus bekannten Beziehungen leitet es unbekannte Ergebnisse ab und verankert Zahlen in einem Netz aus Zusammenhängen.","The child connects numbers through doubles, halves and neighbouring numbers. From known relationships it derives unknown results and anchors numbers in a network of connections."
