ListNumber,SourceType,QuestionText,AnswerFormat,CorrectAnswer,German,English,IfWrong_practice_skills,Ifwrong_skip,Notes
1,Image,img2113.jpg,Single,8,Wie viele kreise siehst du?,How many circles do you see?,"counting_1, counting_2",,Subitizing/quick recognition to 10
2,Image,img2114.jpg,Single,17,Wie viele kreise siehst du?,How many circles do you see?,"counting_1, counting_2",,Subitizing/quick recognition to 20
3,Text,8,multiple,"9, 10, 11, 12, 13, 14, 15",Zähle in Einer-Schritten vorwärts!,Count forward from the number 8.,"counting_3, counting_4",,Forward counting ZR20
4,Text,12,multiple,"11, 10, 9, 8, 7, 6",Zähle in Einer-Schritten rückwärts!,Count backward from the number 12,"counting_3, counting_4",,Backward counting ZR20
5,Text,66,multiple,"67, 68, 69, 70, 71, 72",Zähle in Einer-Schritten vorwärts!,Count forward from the number 66.,"counting_3, counting_4",,Forward counting ZR100
6,Text,100,multiple,"99, 98, 97, 96, 95, 94, 93, 92, 91, 90, 89",Zähle in Einer-Schritten rückwärts!,Count backward from the number 100.,"counting_3, counting_4",,Backward counting ZR100
7,Text,10,Single,11,Welche Zahl kommt beim Zählen nach der 10?,"While counting, which number comes after 10","counting_4, counting_5",,Successor at decade transition
8,Text,10,Single,9,Welche Zahl kommt beim Zählen vor der 10?,"While counting, what number comes before 10?","counting_4, counting_5",,Predecessor at decade
9,Text,56,Single,57,Welche Zahl kommt beim Zählen nach der 56?,What number comes after 56?,"counting_4, counting_5",,Successor ZR100
10,Text,56,Single,55,Welche Zahl kommt beim Zählen vor der 56?,What number comes before 56?,"counting_4, counting_5",,Predecessor ZR100
11,Text,65,Single,66,Welche Zahl kommt beim Zählen nach der 65?,What number comes after 65?,"counting_4, counting_5",,Successor at 5s position
12,Text,65,Single,64,Welche Zahl kommt beim Zählen vor der 65?,What number comes before 65?,"counting_4, counting_5",,Predecessor at 5s position
13,Text,80,Single,81,Welche Zahl kommt beim Zählen nach der 80?,What number comes after 80?,"counting_4, counting_5",,Successor at decade
14,Text,80,Single,79,Welche Zahl kommt beim Zählen vor der 80?,What number comes before 80?,"counting_4, counting_5",,Predecessor at decade
