ListNumber,SourceType,QuestionText,AnswerFormat,CorrectAnswer,German,English,IfWrong_practice_skills,Ifwrong_skip,Notes,SkipGroup,Zahlenraum,AudioAsset,Hilfetext
501,Text,"Auf dem einen Teller liegen 7 Kirschen, auf dem anderen 4. Wie viel mehr Kirschen liegen auf dem einen Teller?",Single,3,"Auf dem einen Teller liegen 7 Kirschen, auf dem anderen 4. Wie viel mehr Kirschen liegen auf dem einen Teller?","On one plate there are 7 cherries, on the other 4. How many more cherries are on the one plate?",compare_quantity_difference,,"v3 legacy-derived (iMINT Testkarte 14)",,ZR10,,
502,Text,"5 + 3 = __",Single,8,"5 + 3 = __","5 + 3 = __",basic_fact_add_with_5,,"v3 legacy-derived (iMINT Testkarte 15)",,ZR10,,
503,Text,"9 - 5 = __",Single,4,"9 - 5 = __","9 - 5 = __",basic_fact_sub_with_5,,"v3 legacy-derived (iMINT Testkarte 15)",,ZR10,,
504,Text,"5 + __ = 8",Single,3,"5 + __ = 8","5 + __ = 8",complete_gap_end,,"v3 legacy-derived (iMINT Testkarte 15); gap at the end",,ZR10,,
505,Text,"__ + 3 = 5",Single,2,"__ + 3 = 5","__ + 3 = 5",complete_gap_start,,"v3 legacy-derived (iMINT Testkarte 15); gap at the start",,ZR10,,
506,Text,"Wie viel ist das Doppelte von 3?",Single,6,"Wie viel ist das Doppelte von 3?","How much is double 3?",double_zr10,,"v3 legacy-derived (iMINT Testkarte 18); supersedes clean-room v2 verdoppeln-halbieren.ZR10 (retired -- see diagnostic_service.dart)",,ZR10,,
507,Text,"Wie viel ist das Doppelte von 6?",Single,12,"Wie viel ist das Doppelte von 6?","How much is double 6?",double_zr10_to_zr20,,"v3 legacy-derived (iMINT Testkarte 18)",,ZR20,,
508,Text,"Wie viel ist das Doppelte von 9?",Single,18,"Wie viel ist das Doppelte von 9?","How much is double 9?",double_crossing_10,,"v3 legacy-derived (iMINT Testkarte 18)",,ZR20,,
509,Text,"Wie viel ist das Doppelte von 30?",Single,60,"Wie viel ist das Doppelte von 30?","How much is double 30?",double_decade,,"v3 legacy-derived (iMINT Testkarte 19)",,ZR100,,
510,Text,"Wie viel ist das Doppelte von 34?",Single,68,"Wie viel ist das Doppelte von 34?","How much is double 34?",double_2digit_nocarry,,"v3 legacy-derived (iMINT Testkarte 19); ones digit 4 doubled = 8, no carry",,ZR100,,
511,Text,"Wie viel ist das Doppelte von 26?",Single,52,"Wie viel ist das Doppelte von 26?","How much is double 26?",double_2digit_with_carry,,"v3 legacy-derived (iMINT Testkarte 19); item a of 2 -- ones digit 6 doubled = 12, carries",,ZR100,,
512,Text,"Wie viel ist das Doppelte von 38?",Single,76,"Wie viel ist das Doppelte von 38?","How much is double 38?",double_2digit_with_carry,,"v3 legacy-derived (iMINT Testkarte 19); item b of 2 -- ones digit 8 doubled = 16, carries",,ZR100,,
513,Text,"Wie viel ist die Hälfte von 8?",Single,4,"Wie viel ist die Hälfte von 8?","How much is half of 8?",halve_zr10,,"v3 legacy-derived (iMINT Testkarte 20); supersedes clean-room v1 LN34 (""halb so groß wie 6"", same single-number halving-query format)",,ZR10,,
514,Text,"Wie viel ist die Hälfte von 16?",Single,8,"Wie viel ist die Hälfte von 16?","How much is half of 16?",halve_zr20_anchor,,"v3 legacy-derived (iMINT Testkarte 20)",,ZR20,,
515,Text,"Wie viel ist die Hälfte von 18?",Single,9,"Wie viel ist die Hälfte von 18?","How much is half of 18?",halve_zr20_crossing,,"v3 legacy-derived (iMINT Testkarte 20); tens digit 1 is odd, forces regrouping",,ZR20,,
516,Text,"Wie viel ist die Hälfte von 60?",Single,30,"Wie viel ist die Hälfte von 60?","How much is half of 60?",halve_decade,,"v3 legacy-derived (iMINT Testkarte 21)",,ZR100,,
517,Text,"Wie viel ist die Hälfte von 48?",Single,24,"Wie viel ist die Hälfte von 48?","How much is half of 48?",halve_2digit_clean,,"v3 legacy-derived (iMINT Testkarte 21); even tens digit, clean digit-wise halving",,ZR100,,
518,Text,"Wie viel ist die Hälfte von 90?",Single,45,"Wie viel ist die Hälfte von 90?","How much is half of 90?",halve_2digit_needs_decomposition,,"v3 legacy-derived (iMINT Testkarte 21); item a of 2 -- odd tens digit forces decomposition; supersedes clean-room v1 LN35 (""halb so groß wie 10"", same format, but that item didn't test the harder odd-tens-digit case)",,ZR100,,
519,Text,"Wie viel ist die Hälfte von 52?",Single,26,"Wie viel ist die Hälfte von 52?","How much is half of 52?",halve_2digit_needs_decomposition,,"v3 legacy-derived (iMINT Testkarte 21); item b of 2 -- odd tens digit forces decomposition",,ZR100,,
520,Text,"40 + 30 = __",Single,70,"40 + 30 = __","40 + 30 = __",tens_add_tens,,"v3 legacy-derived (iMINT Testkarte 22)",,ZR100,,
521,Text,"80 - 30 = __",Single,50,"80 - 30 = __","80 - 30 = __",tens_sub_tens,,"v3 legacy-derived (iMINT Testkarte 22)",,ZR100,,
522,Text,"100 - 30 = __",Single,70,"100 - 30 = __","100 - 30 = __",tens_sub_crossing_hundred,,"v3 legacy-derived (iMINT Testkarte 22)",,ZR100,,
523,Text,"3 + 4 = __",Single,7,"3 + 4 = __","3 + 4 = __",decade_analogy_add,,"v3 legacy-derived (iMINT Testkarte 23); helper item of the pair",,"ZR10, ZR20",,
524,Text,"13 + 4 = __",Single,17,"13 + 4 = __","13 + 4 = __",decade_analogy_add,,"v3 legacy-derived (iMINT Testkarte 23); target item of the pair -- same fact shifted by a decade",,"ZR10, ZR20",,
525,Text,"4 + 8 = __",Single,12,"4 + 8 = __","4 + 8 = __",decade_analogy_add_crossing_hundred,,"v3 legacy-derived (iMINT Testkarte 23); helper item of the pair",,"ZR10, ZR100",,
526,Text,"92 + 8 = __",Single,100,"92 + 8 = __","92 + 8 = __",decade_analogy_add_crossing_hundred,,"v3 legacy-derived (iMINT Testkarte 23); target item of the pair -- lands exactly on 100",,"ZR10, ZR100",,
527,Text,"5 + 1 = __",Single,6,"5 + 1 = __","5 + 1 = __",shift_plus_minus_1_2_zr10,,"v3 legacy-derived (Arbeitskarte 3 gap skill; step-3 cross-check); item a of 2",,ZR10,,
528,Text,"9 - 2 = __",Single,7,"9 - 2 = __","9 - 2 = __",shift_plus_minus_1_2_zr10,,"v3 legacy-derived (Arbeitskarte 3 gap skill; step-3 cross-check); item b of 2",,ZR10,,
529,Text,"Wenn 7 + 5 = 12 ist, wie viel ist 8 + 4?",Single,12,"Wenn 7 + 5 = 12 ist, wie viel ist 8 + 4?","If 7 + 5 = 12, how much is 8 + 4?",compensation_strategy_zr20,,"v3 legacy-derived (Arbeitskarte 6 / Kombi-Arbeitskarte 7 gap skill; step-3 cross-check); tests the compensation insight (+1/-1 keeps the sum)",,ZR20,,
530,Text,"Ist 14 gerade oder ungerade?",Single,gerade,"Ist 14 gerade oder ungerade?","Is 14 even or odd?",even_odd_recognition,,"v3 legacy-derived (Arbeitskarte 15 gap skill; step-3 cross-check); item a of 2",,ZR20,,
531,Text,"Ist 9 gerade oder ungerade?",Single,ungerade,"Ist 9 gerade oder ungerade?","Is 9 even or odd?",even_odd_recognition,,"v3 legacy-derived (Arbeitskarte 15 gap skill; step-3 cross-check); item b of 2",,ZR20,,
532,Image,V3G-01,Single,8,"Du siehst kurz Finger. Wie viele waren es?","You'll briefly see fingers. How many were there?",fingerblitz_quantity_zr10,,"v3 legacy-derived (Arbeitskarte 1 gap skill; step-3 cross-check); uses the existing finger-image assets (assets/images/fingers/) via FingerBildWidget, flashed with the same Bereit/countdown/flash pattern as A2.1-01",,ZR10,,
533,Text,"Stimmt das? 6 + 4 = 8 + 2",Single,ja,"Stimmt das? 6 + 4 = 8 + 2","Is this correct? 6 + 4 = 8 + 2",equation_equivalence_zr20,,"v3 legacy-derived (Arbeitskarte 18 gap skill; step-3 cross-check); item a of 2 (true case, 10 = 10)",,ZR20,,
534,Text,"Stimmt das? 9 + 3 = 8 + 5",Single,nein,"Stimmt das? 9 + 3 = 8 + 5","Is this correct? 9 + 3 = 8 + 5",equation_equivalence_zr20,,"v3 legacy-derived (Arbeitskarte 18 gap skill; step-3 cross-check); item b of 2 (false case, 12 != 13)",,ZR20,,
535,Text,"Wenn 8 + 5 = 13 ist, wie viel ist 5 + 8?",Single,13,"Wenn 8 + 5 = 13 ist, wie viel ist 5 + 8?","If 8 + 5 = 13, how much is 5 + 8?",commutativity_zr20,,"v3 legacy-derived (Arbeitskarte 19 gap skill; step-3 cross-check); caveat -- can't distinguish reuse of the given fact from recomputing",,ZR20,,
