artifact_id,type,author,created,sources_cited,reviewed_by,reviewed_on,independent_of
A1.1-01,item,Claude (draft),2026-08-29,Padberg & Benz 2021; KMK 2022,,,Vorwärtszählen ab Start 12 bis 20 mit eigener Zahlenwahl; kein Bezug auf ein Vorgängerinstrument. 
A1.1-02,item,Claude (draft),2026-08-29,Padberg & Benz 2021; KMK 2022,,,Vorwärtszählen ab Start 48 bis 63 über zwei Dekadenwechsel mit eigener Zahlenwahl; kein Bezug auf ein Vorgängerinstrument. 
A1.2-01,item,Claude (draft),2026-08-29,Wartha 2019; Padberg & Benz 2021,,,Rückwärtszählen ab Start 21 bis 16 mit eigener Zahlenwahl; kein Bezug auf ein Vorgängerinstrument. 
A1.2-02,item,Claude (draft),2026-08-29,Wartha 2019; Padberg & Benz 2021,,,Rückwärtszählen ab Start 59 bis 51 mit eigener Zahlenwahl; kein Bezug auf ein Vorgängerinstrument. 
A1.3-01,item,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,Zweierschritt-Folge 26 bis 34 mit eigener Zahlenwahl; kein Bezug auf ein Vorgängerinstrument. 
A1.3-02,item,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,Fünferschritte rückwärts 45 bis 20 mit eigener Zahlenwahl; kein Bezug auf ein Vorgängerinstrument. 
A1.4-01,item,Claude (draft),2026-08-29,Wartha 2019; Padberg & Benz 2021,,,Vorgänger und Nachfolger der eigenständig gewählten Zahl 37; kein Bezug auf ein Vorgängerinstrument. 
A1.5-01,item,Claude (draft),2026-08-29,Gaidoschik 2010; Wartha 2019,,,Zählen über die 20 von 17 bis 23 mit eigener Zahlenwahl; kein Bezug auf ein Vorgängerinstrument. 
A2.1-01,item,Claude (draft),2026-08-29,Krajewski 2003/2008; Krajewski & Schneider 2009,,,"Subitizing als zeitbegrenzte Rekenrek-Darbietung (800 ms) mit vier Perlen; Reizdauer, Gerät und Belegung sind eigene Festlegungen, keine Übernahme eines Alt-Reizes. "
A2.2-01,item,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,Zehnerfeld mit eigener Belegung 5+1 (erste Zeile voll plus eine Zelle in Zeile 2); selbst gewählte Konfiguration. 
A2.2-02,item,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,"Fingerbild 5+3 über zwei Hände mit festgelegten Fingern (links 5, rechts 3); Handanordnung eigene Festlegung. "
A2.3-01,item,Claude (draft),2026-08-29,Krajewski 2003/2008; KMK 2022,,,Vergleich zweier Zehnerfeld-Belegungen (6 vs. 8) mit Abstand 2; Belegungen und Seitenanordnung eigene Festlegung. 
A3.1-01,item,Claude (draft),2026-08-29,"Padberg & Benz 2021; Lenz & Wittmann 2023; Karner, Zahlzerlegungen im ZR10 (OA)",,,Eigene Zahlen (6/4/2) und eigener Murmeln-in-der-Dose-Kontext; eigene Stimulusformulierung. 
A3.1-02,item,Claude (draft),2026-08-29,Padberg & Benz 2021; Lenz & Wittmann 2023,,,Eigene symbolische Lücken-Gleichung 10 = 3 + ___ mit eigener Wertekombination. 
A3.1-03,item,Claude (draft),2026-08-29,Padberg & Benz 2021; Lenz & Wittmann 2023,,,Eigene Kompositionsaufgabe (6 + 4 = 10) im Perlen-Kontext in Geschichtenform. 
A3.2-01,item,Claude (draft),2026-08-29,"Karner, Zahlzerlegungen im ZR10 (OA); Padberg & Benz 2021",,,Eigene Offen-Aufgabe 'drei Zerlegungen der 8' mit eigener Mehrzeilen-Eingabeform. 
A3.2-02,item,Claude (draft),2026-08-29,"Karner, Zahlzerlegungen im ZR10 (OA); Padberg & Benz 2021",,,Eigene Tauschaufgaben-Rahmung mit Anker '8 = 5 + 3' und umgestellter Lücke. 
A3.2-03,item,Claude (draft),2026-08-29,"Karner, Zahlzerlegungen im ZR10 (OA); Padberg & Benz 2021",,,Eigene Vollständigkeits-Aufgabe zu allen Zerlegungen der 10. 
A3.3-01,item,Claude (draft),2026-08-29,Gaidoschik 2010; Padberg & Benz 2021,,,Eigene Verdopplungsfrage ('doppelt so groß wie 4') im Personen-Kontext. 
A3.3-02,item,Claude (draft),2026-08-29,Gaidoschik 2010; Padberg & Benz 2021,,,Eigene Anker-Rahmung '4 + 4 = 8' zur Ableitung der Nachbaraufgabe 4 + 5. 
B1.1-01,item,Claude (draft),2026-08-29,Wartha 2019; Moser Opitz 2013,,,Eigenes Format: Zehner/Einer-Abfrage an Zahl 58 ohne Bilddarstellung 
B1.2-01,item,Claude (draft),2026-08-29,"Schipper 2009 (Kap. n.n. — folgt nach Ankunft); Moser Opitz 2013 (Kap. n.n. — folgt nach Ankunft), verankert in 01-construct-map.md (B1.2).",,,"Eigene Zahlenwahl (34) und eigene Anordnung (3 Zehnerbündel + 4 Einer, räumlich getrennt mit Lücke). Antwortformat ist rein produktiv (Zahl nennen); es wird kein Auswahl- oder Vorgabeformat eines bestehenden Instruments übernommen. Weder Bündelzahl, Reststückzahl noch Fragesatz stammen aus einem Vorgängerformat."
B1.2-02,item,Claude (draft),2026-08-29,Moser Opitz 2013; Schipper 2009,,,Eigene Ueberbuendelungs-Aufgabe 3 Z + 11 E (= 41) mit Neubuendelungs-Frage 
B1.3-01,item,Claude (draft),2026-08-29,Schipper 2009; Rahmenlehrplan BE/BB 2023,,,Eigene interaktive Entbuendelung 1 Z + 3 E (= 13) mit Oeffnen des Buendels 
B2.1-01,item,Claude (draft),2026-08-29,Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023,,,Eigene Tafel-Aufgabe 47 mit Z/E-Spalten und Zahl oberhalb der Tafel 
B2.1-02,item,Claude (draft),2026-08-29,Padberg & Benz 2021; Wartha 2019,,,Eigene Lese-Aufgabe 6 Z / 0 E (= 60) mit Null als Platzhalter 
