skill_id,type,created_by,date,sources,reviewed_by,notes
D1.1,skill_spec,Claude (domain author),2026-08-31,"KMK 2022; Rahmenlehrplan BE/BB 2023",open,"D1.1 (Sachsituationen mathematisch erfassen): drei word_problem-Stufen, alle symbolisch (L1 plus, ZR10, konkrete Objekte; L2 minus, ZR20, Alltagssetting; L3 plus, ZR100, ein Schritt), ask_operation=false. Kontexte aus Einkaufen, Tieren, Obst, Spielzeug und Schulhof; eindeutig lesbar, Ergebnis nie negativ. Alle drei Stufen nutzen word_problem, da die Sachsituation die symbolische Darstellung der E-I-S-Folge für dieses Konstrukt ist."
D1.2,skill_spec,Claude (domain author),2026-08-31,"Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023",open,"D1.2 (Die passende Rechenoperation erkennen): drei word_problem-Stufen mit ask_operation=true (L1 ZR10, L2 ZR20, L3 ZR100); das Kind wählt zuerst das Rechenzeichen und rechnet dann aus. Kontexte sind als Plus- oder Minus-Situation eindeutig lesbar; sign_error ist die zentrale Konstrukt-Fehlerregel."
B1.1,skill_spec,Claude (domain author),2026-08-31,"Wartha & Schulz 2019; Moser Opitz 2013",open,"B1.1 (Zehner und Einer erkennen): E-I-S-Folge über Bündeln (enaktiv, bundle_sticks 12-39), Ablesen der Stellenwerttafel (ikonisch, mode read) und Zusammensetzen von Zehnern und Einern (symbolisch, equation_gap place_value); die Zerlegung zweistelliger Zahlen ist die tragende Stellenwertvorstellung."
B1.2,skill_spec,Claude (domain author),2026-08-31,"Schipper 2009; Moser Opitz 2013",open,"B1.2 (Einzelstücke zu Zehnern bündeln): count_range ab 12 erzwingt das Bündeln (zehn Stäbchen ergeben immer genau ein Bündel), Lesen und Zusammensetzen folgen auf ikonischer und symbolischer Stufe; so wird der dekadische Aufbau handelnd und bildhaft erfahrbar."
B1.3,skill_spec,Claude (domain author),2026-08-31,"Schipper 2009; Rahmenlehrplan BE/BB 2023",open,"B1.3 (Einen Zehner in Einer tauschen): custom widget unbundling (Bündel öffnen, Einer neu zählen) und Lesen aufgelöster Darstellungen (1 Zehner 13 Einer = 23, Stellenwerttafel sum_rows); das Rücktauschen bereitet Borge- und Ergänzungsschritte beim Subtrahieren vor."
B2.1,skill_spec,Claude (domain author),2026-08-31,"Padberg & Benz 2021; Rahmenlehrplan BE/BB 2023",open,"B2.1 (Zahlen in der Stellenwerttafel darstellen): Eintragen (place_counters, Stellenwerttafel) und Ablesen (mode read) machen die Position der Ziffer sichtbar; die Fehlerregel zero_ones_error stützt das Verständnis der leeren Spalte."
B2.2,skill_spec,Claude (domain author),2026-08-31,"Schipper 2009; KMK 2022",open,"B2.2 (Zahlen am Zahlenstrahl verorten): Schritt-für-Schritt-Gehen (numberline_step) und Verorten (numberline_locate, ZR20 dann ZR100) verknüpfen Zahlorientierung mit Abstandsvorstellungen; bewusst keine symbolische Stufe, da das Verorten die ikonische Repräsentation des Konstrukts ist."
B2.3,skill_spec,Claude (domain author),2026-08-31,"Moser Opitz 2013; Padberg & Benz 2021",open,"B2.3 (Zahlen in ungewohnter Schreibweise lesen): nicht-standardisierte Formen (2 Zehner 14 Einer = 34) decken mechanisches Stellenwertverständnis auf; count_range [20,99] erzwingt bei eindeutiger Zerlegung (z = n div 10 - 1, o = 10 + n mod 10) Einer im Bereich 10-19; digit_string_error adressiert das Hintereinanderschreiben der Ziffern."
A1.1a,skill_spec,Claude (domain author),2026-08-31,"Padberg & Benz 2021; KMK 2022",open,"A1.1a (Vorwärtszählen bis 20): L1 enaktiv auf dem Zahlenstrahl (numberline_step 0-20, Start 10-12, Ziel 20), L2/L3 symbolisch als Zahlenfolge fortsetzen (sequence_gap, Länge 5 dann 8). ZR20-Grenze: start_range [5,13] bei Länge 8 hält die letzte Zahl bei 20. Konstruktspezifische Fehlerregel: skip (eine Zahl übersprungen)."
A1.1b,skill_spec,Claude (domain author),2026-08-31,"Padberg & Benz 2021; KMK 2022",open,"A1.1b (Vorwärtszählen bis 100): L1 Zahlenstrahl 40-60, Ziel 60 (kreuzt die 50), L2 Lücke an der Zehnergrenze 50 (Start 46-49, gap index 2), L3 Länge 8 mit start_range [93,93] erzwingt die Folge 93-100 und kreuzt damit 99 nach 100; die enge Range ist bewusst, damit die oberste Zehnergrenze im ZR100 sicher getroffen wird. overstep_error adressiert den Übergang."
