ListNumber,SourceType,QuestionText,AnswerFormat,CorrectAnswer,German,English,IfWrong_practice_skills,Ifwrong_skip,Notes,SkipGroup,Zahlenraum,AudioAsset,Hilfetext
1,Image,V3Z-01,Single,9,Zähle die Punkte auf dem Bild. Wie viele sind es?,Count the dots in the picture. How many are there?,quantify_count_zr10,,v3 legacy-derived (iMINT Testkarte 1); supersedes counting_1,quantify_count,ZR10,,
2,Image,V3Z-02,Single,16,Zähle die Punkte auf dem Bild. Wie viele sind es?,Count the dots in the picture. How many are there?,quantify_count_zr20,,v3 legacy-derived (iMINT Testkarte 1); supersedes counting_1,quantify_count,ZR20,,
3,Text,"Zähle weiter: 11, 12, 13, __, __, __, __",Single,"14, 15, 16, 17","Zähle weiter: 11, 12, 13, __, __, __, __","Continue counting: 11, 12, 13, __, __, __, __",count_forward_zr20,,"v3 legacy-derived (iMINT Testkarte 2); supersedes counting_3 and clean-room v1 LN1; 3 given, 4 to fill per Jakob's 2026-09-12 feedback",count_forward,ZR20,,
4,Text,"Zähle rückwärts weiter: 8, 7, 6, __, __, __, __",Single,"5, 4, 3, 2","Zähle rückwärts weiter: 8, 7, 6, __, __, __, __","Continue counting backward: 8, 7, 6, __, __, __, __",count_backward_zr20,,"v3 legacy-derived (iMINT Testkarte 2); supersedes counting_3 and clean-room v1 LN3; 3 given, 4 to fill",count_backward,ZR20,,
5,Text,"Zähle weiter: 67, 68, 69, __, __, __, __",Single,"70, 71, 72, 73","Zähle weiter: 67, 68, 69, __, __, __, __","Continue counting: 67, 68, 69, __, __, __, __",count_forward_zr100,,"v3 legacy-derived (iMINT Testkarte 2); supersedes counting_3 and clean-room v1 LN2; 3 given, 4 to fill",count_forward,ZR100,,
6,Text,"Zähle rückwärts weiter: 52, 51, 50, __, __, __, __",Single,"49, 48, 47, 46","Zähle rückwärts weiter: 52, 51, 50, __, __, __, __","Continue counting backward: 52, 51, 50, __, __, __, __",count_backward_zr100,,"v3 legacy-derived (iMINT Testkarte 2); supersedes counting_3 and clean-room v1 LN4; 3 given, 4 to fill",count_backward,ZR100,,
7,Text,Welche Zahl kommt direkt nach 10?,Single,11,Welche Zahl kommt direkt nach 10?,Which number comes directly after 10?,successor_zr20_decade,,v3 legacy-derived (iMINT Testkarte 3); supersedes counting_4 and clean-room v1 LN7,successor,ZR20,,
8,Text,Welche Zahl kommt direkt vor 10?,Single,9,Welche Zahl kommt direkt vor 10?,Which number comes directly before 10?,predecessor_zr20_decade,,v3 legacy-derived (iMINT Testkarte 3); supersedes counting_4 and clean-room v1 LN7,predecessor,ZR20,,
9,Text,Welche Zahl kommt direkt nach 75?,Single,76,Welche Zahl kommt direkt nach 75?,Which number comes directly after 75?,successor_zr100_five,,v3 legacy-derived (iMINT Testkarte 3); supersedes counting_4,successor,ZR100,,
10,Text,Welche Zahl kommt direkt vor 75?,Single,74,Welche Zahl kommt direkt vor 75?,Which number comes directly before 75?,predecessor_zr100_five,,v3 legacy-derived (iMINT Testkarte 3); supersedes counting_4,predecessor,ZR100,,
11,Text,Welche Zahl kommt direkt nach 90?,Single,91,Welche Zahl kommt direkt nach 90?,Which number comes directly after 90?,successor_zr100_decade,,v3 legacy-derived (iMINT Testkarte 3); supersedes counting_4,successor,ZR100,,
12,Text,Welche Zahl kommt direkt vor 90?,Single,89,Welche Zahl kommt direkt vor 90?,Which number comes directly before 90?,predecessor_zr100_decade,,v3 legacy-derived (iMINT Testkarte 3); supersedes counting_4,predecessor,ZR100,,
13,Text,"Zähle in Zweierschritten weiter: 4, 6, 8, __, __, __, __",Single,"10, 12, 14, 16","Zähle in Zweierschritten weiter: 4, 6, 8, __, __, __, __","Count on in steps of two: 4, 6, 8, __, __, __, __",skip2_forward_zr20,,"v3 legacy-derived (iMINT Testkarte 4); supersedes counting_6/counting_7 and clean-room v1 LN5; 3 given, 4 to fill; renumbered from 10/12/14 start so the continuation stays within ZR20",skip2_forward,ZR20,,
14,Text,"Zähle in Zweierschritten rückwärts weiter: 18, 16, 14, __, __, __, __",Single,"12, 10, 8, 6","Zähle in Zweierschritten rückwärts weiter: 18, 16, 14, __, __, __, __","Count backward in steps of two: 18, 16, 14, __, __, __, __",skip2_backward_zr20,,"v3 legacy-derived (iMINT Testkarte 4); supersedes counting_6/counting_7; 3 given, 4 to fill",skip2_backward,ZR20,,
