ListNumber,SourceType,QuestionText,AnswerFormat,CorrectAnswer,German,English,IfWrong_practice_skills,Ifwrong_skip,Notes,SkipGroup,Zahlenraum,AudioAsset
1,Text,"Zähle von der Zahl 12 weiter, bis zur Zahl 20.",Single,"13, 14, 15, 16, 17, 18, 19, 20","Zähle von der Zahl 12 weiter, bis zur Zahl 20.",Count on from the number 12 up to the number 20.,A1.1a,,easy; A1.1 Vorwärtszählen in ZR20/ZR100 vom beliebigen Startpunkt,,ZR20,
2,Text,"Zähle von der Zahl 48 weiter, bis zur Zahl 63.",Single,"49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63","Zähle von der Zahl 48 weiter, bis zur Zahl 63.",Count on from the number 48 up to the number 63.,"A1.1b, A1.5",,medium; A1.1 Vorwärtszählen in ZR20/ZR100 vom beliebigen Startpunkt,,ZR100,
3,Text,"Zähle von der Zahl 21 rückwärts, bis zur Zahl 16.",Single,"20, 19, 18, 17, 16","Zähle von der Zahl 21 rückwärts, bis zur Zahl 16.",Count backwards from the number 21 down to the number 16.,A1.2a,,easy; A1.2 Rückwärtszählen vom beliebigen Startpunkt,,ZR20/ZR100,
4,Text,"Zähle von der Zahl 59 rückwärts, bis zur Zahl 51.",Single,"58, 57, 56, 55, 54, 53, 52, 51","Zähle von der Zahl 59 rückwärts, bis zur Zahl 51.",Count backwards from the number 59 down to the number 51.,A1.2b,,medium; A1.2 Rückwärtszählen vom beliebigen Startpunkt,,ZR100,
5,Text,Zähle in Zweierschritten von der Zahl 26 weiter. Nenne die nächsten vier Zahlen.,Single,"28, 30, 32, 34",Zähle in Zweierschritten von der Zahl 26 weiter. Nenne die nächsten vier Zahlen.,Count on in steps of two from the number 26. Name the next four numbers.,A1.3,,"medium; A1.3 Zählen in Schritten (2er, 5er, 10er) vor- und rückwärts",,ZR100,
6,Text,Zähle in Fünferschritten rückwärts von der Zahl 45. Nenne die nächsten fünf Zahlen.,Single,"40, 35, 30, 25, 20",Zähle in Fünferschritten rückwärts von der Zahl 45. Nenne die nächsten fünf Zahlen.,Count backwards in steps of five from the number 45. Name the next five numbers.,A1.3,,"hard; A1.3 Zählen in Schritten (2er, 5er, 10er) vor- und rückwärts",,ZR100,
7,Text,"Welche Zahl kommt direkt vor der 37, und welche Zahl kommt direkt nach der 37?",Single,"36, 38","Welche Zahl kommt direkt vor der 37, und welche Zahl kommt direkt nach der 37?","Which number comes directly before 37, and which number comes directly after 37?","A1.4, A1.1b",,easy; A1.4 Vorgänger/Nachfolger bestimmen,,ZR100,
8,Image,A2.1-01,Single,4,Schau genau hin! Wie viele Perlen waren es?,A counting frame will appear for a short moment. Remember exactly how many beads you see. How many beads were there?,"A2.1, A1.1a",,"easy; A2.1 Simultanerfassung (Subitizing) bis 4–5 — das Kind erfasst kleine Mengen bis etwa vier oder fünf unmittelbar und zuverlässig, ohne sie einzeln abzuzählen.",,ZR5,
9,Image,A2.2-01,Single,6,Wie viele Felder sind gefüllt?,Here is a ten-frame. Some boxes are filled. You may look as long as you like. How many boxes are filled?,"A2.2, A2.1",,"easy; A2.2 Strukturierte Anzahlerfassung bis 10 — das Kind erkennt Mengen bis zehn anhand bekannter Strukturen wie Fünfer- oder Zweiergruppierungen, Zehnerfeldern oder Fingerbildern.",,ZR10,
10,Image,A2.2-02,Single,8,Wie viele Finger sind es insgesamt?,You see two hands. Some fingers are stretched out. How many fingers are there in total?,"A2.2, A2.1",,"medium; A2.2 Strukturierte Anzahlerfassung bis 10 — das Kind erkennt Mengen bis zehn anhand bekannter Strukturen wie Fünfer- oder Zweiergruppierungen, Zehnerfeldern oder Fingerbildern.",,ZR10,
11,Image,A2.3-01,Single,rechts,Wo sind mehr Felder gefüllt — links oder rechts?,On the left and on the right you see a ten-frame. Where are more boxes filled — left or right?,"A2.3, A2.2",,"medium; A2.3 Anzahlvergleich / mehr-weniger — das Kind vergleicht Mengen und bestimmt zuverlässig, welche Menge größer beziehungsweise kleiner ist, ohne sie abzählen zu müssen.",,ZR10,
12,Text,"In der Dose sind 6 Murmeln. 4 Murmeln sind rot, die anderen sind blau. Wie viele Murmeln sind blau?",Single,2,"In der Dose sind 6 Murmeln. 4 Murmeln sind rot, die anderen sind blau. Wie viele Murmeln sind blau?","There are 6 marbles in the jar. 4 marbles are red, the others are blue. How many marbles are blue?","A3.1, A2.2",,easy; A3.1 Teil-Teil-Ganzes in ZR10,,ZR10,
13,Text,Welche Zahl fehlt? 10 = 3 + ___,Single,7,Welche Zahl fehlt? 10 = 3 + ___,Which number is missing? 10 = 3 + ___,"A3.1, A3.3",,medium; A3.1 Teil-Teil-Ganzes in ZR10,,ZR10,
14,Text,Lena hat 6 rote und 4 blaue Perlen. Wie viele Perlen hat Lena zusammen?,Single,10,Lena hat 6 rote und 4 blaue Perlen. Wie viele Perlen hat Lena zusammen?,Lena has 6 red and 4 blue beads. How many beads does Lena have altogether?,"A3.1, A3.3",,medium; A3.1 Teil-Teil-Ganzes in ZR10,,ZR10,
