ListNumber,SourceType,QuestionText,AnswerFormat,CorrectAnswer,German,English,IfWrong_practice_skills,Ifwrong_skip,Notes,SkipGroup,Zahlenraum,AudioAsset,Hilfetext
701,Text,"Ein Zug hat 6 Wagen. Der 4. Wagen ist rot. Wie viele Wagen sind vor dem roten Wagen?",Single,3,"Ein Zug hat 6 Wagen. Der 4. Wagen ist rot. Wie viele Wagen sind vor dem roten Wagen?","A train has 6 carriages. The 4th carriage is red. How many carriages are in front of the red one?",ordinal_1,,"PIKAS-sourced (Kartei 9); step-3 addition; ordinal_2 was rejected by Jakob (children don't know/need the word ""Ordnungszahl""), this one survives since it doesn't require that vocabulary",,ZR10,,
702,Image,V3M-01,Single,6,"Welches Symbol passt dazu: 5, 6 oder 7?","Which number matches this: 5, 6 or 7?",representation_bild_symbol,,"PIKAS-sourced (Kartei 39/40); step-3 addition",,ZR10,,
703,Text,"Welches Wort passt zur Zahl 6?",Single,sechs,"Welches Wort passt zur Zahl 6?","Which word matches the number 6?",representation_bild_symbol_wort,,"PIKAS-sourced (Kartei 39); tests the sechs/sechzehn/sechzig confusion; tap options curated in kAnswerSpecs (LN703) since choiceOptionsOf can't derive an arbitrary three-word list from prose; the options themselves were dropped from the question text once buttons carried them (Jakob's 2026-09-13 feedback)",,ZR10,,
704,Text,"Auf der Wiese sitzen 4 Vögel. 3 weitere Vögel kommen dazu. Wie viele Vögel sitzen jetzt auf der Wiese?",Single,7,"Auf der Wiese sitzen 4 Vögel. 3 weitere Vögel kommen dazu. Wie viele Vögel sitzen jetzt auf der Wiese?","4 birds are sitting in the meadow. 3 more birds join them. How many birds are in the meadow now?",operation_sense_add,,"PIKAS-sourced (Kartei 44); step-3 addition",,ZR10,,
705,Text,"Auf dem Teller liegen 8 Kekse. Du isst 3 davon. Wie viele Kekse liegen noch auf dem Teller?",Single,5,"Auf dem Teller liegen 8 Kekse. Du isst 3 davon. Wie viele Kekse liegen noch auf dem Teller?","There are 8 cookies on the plate. You eat 3 of them. How many cookies are left on the plate?",operation_sense_sub,,"PIKAS-sourced (Kartei 38); item a of 2 (wegnehmen / take-away)",,ZR10,,
706,Text,"Lisa hat 9 Sticker, Tom hat 6 Sticker. Wie viele Sticker hat Lisa mehr als Tom?",Single,3,"Lisa hat 9 Sticker, Tom hat 6 Sticker. Wie viele Sticker hat Lisa mehr als Tom?","Lisa has 9 stickers, Tom has 6 stickers. How many more stickers does Lisa have than Tom?",operation_sense_sub,,"PIKAS-sourced (Kartei 38); item b of 2 (vergleichen / compare) -- same skill as 705, different construct (comparison vs. take-away)",,ZR10,,
707,Text,"Welche Rechnung passt zur Geschichte? Mia hatte 5 Bonbons und bekommt noch 4 dazu.",Single,"5+4","Welche Rechnung passt zur Geschichte? Mia hatte 5 Bonbons und bekommt noch 4 dazu.","Which calculation matches the story? Mia had 5 candies and gets 4 more.",operation_sense_story,,"PIKAS-sourced (Kartei 42); tests translation to an equation, not computation -- grades on the typed equation ""5+4"", not the result 9; the a)/b)/c) list was dropped from the question text once buttons carried the options (Jakob's 2026-09-13 feedback)",,ZR10,,
708,Image,V3M-02,Single,22,"Du startest bei 36 auf dem Rechenstrich, springst 10 Schritte zurück und dann noch 4 Schritte zurück. Bei welcher Zahl landest du?","You start at 36 on the empty number line, jump 10 steps back and then 4 more steps back. Which number do you land on?",number_line_rechenstrich,,"PIKAS-sourced (Kartei 45); step-3 addition; renders as a RechenstrichWidget (start 36, jumps -10/-4) instead of bare text, per Jakob's 2026-09-13 feedback ('for questions about a Rechenstrich, we should show a Rechenstrich')",,ZR100,,
709,Image,V3M-03,Single,30,"Auf dem Rechenstrich stehen 20 und 40. Welche Zahl liegt genau in der Mitte?","On the number line, 20 and 40 are marked. Which number is exactly in the middle?",number_line_zahlenstrahl,,"PIKAS-sourced (Kartei 11/13); renders as a RechenstrichWidget-style line with only the two endpoints labeled and a downward arrow pointing at the midpoint, per Jakob's 2026-09-13 feedback",,ZR100,,
710,Text,"Eine Zahl ist größer als 34 und kleiner als 36. Welche Zahl ist es?",Single,35,"Eine Zahl ist größer als 34 und kleiner als 36. Welche Zahl ist es?","A number is greater than 34 and less than 36. Which number is it?",number_line_strategies,,"PIKAS-sourced (Kartei 27); tightened to a single solution since the source game's own example is open-ended",,ZR100,,
