skill_id,domain,construct_id,color,title_de,title_en,description_de,description_en
quantify_count_zr10,A,quantify_count,amber,Mengen zählen bis 10,Count quantities up to 10,Das Kind zählt Mengen bis 10 korrekt ab und nennt die richtige Anzahl.,The child counts quantities up to 10 correctly and states the right total.
quantify_count_zr20,A,quantify_count,amber,Mengen zählen bis 20,Count quantities up to 20,"Das Kind zählt Mengen bis 20 korrekt ab, auch wenn die Objekte unstrukturiert angeordnet sind.","The child counts quantities up to 20 correctly, even when the objects are arranged without visible structure."
count_forward_zr20,A,count_forward,amber,Vorwärts zählen im ZR20,Count forward within 20,Das Kind zählt im Zahlenraum bis 20 von einem beliebigen Startpunkt aus fehlerfrei vorwärts.,The child counts forward within 20 from any starting point without errors.
count_backward_zr20,A,count_backward,amber,Rückwärts zählen im ZR20,Count backward within 20,Das Kind zählt im Zahlenraum bis 20 von einem beliebigen Startpunkt aus fehlerfrei rückwärts.,The child counts backward within 20 from any starting point without errors.
count_forward_zr100,A,count_forward,amber,Vorwärts zählen im ZR100,Count forward within 100,Das Kind zählt im Zahlenraum bis 100 vorwärts und überschreitet dabei Zehnergrenzen sicher.,The child counts forward within 100 and crosses tens boundaries reliably.
count_backward_zr100,A,count_backward,amber,Rückwärts zählen im ZR100,Count backward within 100,Das Kind zählt im Zahlenraum bis 100 rückwärts und überschreitet dabei Zehnergrenzen sicher.,The child counts backward within 100 and crosses tens boundaries reliably.
successor_zr20_decade,A,successor,amber,Nachfolger an der Zehnergrenze (ZR20),Successor at a decade boundary (ZR20),Das Kind nennt den Nachfolger einer Zahl im ZR20 auch an einer Zehnergrenze (z. B. nach 10).,"The child names the successor of a number within 20, even at a decade boundary (e.g. after 10)."
predecessor_zr20_decade,A,predecessor,amber,Vorgänger an der Zehnergrenze (ZR20),Predecessor at a decade boundary (ZR20),Das Kind nennt den Vorgänger einer Zahl im ZR20 auch an einer Zehnergrenze (z. B. vor 10).,"The child names the predecessor of a number within 20, even at a decade boundary (e.g. before 10)."
successor_zr100_mid,A,successor,amber,Nachfolger im ZR100 (Zahlmitte),Successor within 100 (mid-range),Das Kind nennt den Nachfolger einer zweistelligen Zahl in der Zahlenmitte des ZR100 (z. B. nach 56).,The child names the successor of a two-digit number in the middle of the 100-range (e.g. after 56).
predecessor_zr100_mid,A,predecessor,amber,Vorgänger im ZR100 (Zahlmitte),Predecessor within 100 (mid-range),Das Kind nennt den Vorgänger einer zweistelligen Zahl in der Zahlenmitte des ZR100 (z. B. vor 56).,The child names the predecessor of a two-digit number in the middle of the 100-range (e.g. before 56).
successor_zr100_five,A,successor,amber,Nachfolger im ZR100 (Fünferposition),Successor within 100 at a five-position,Das Kind nennt den Nachfolger einer Zahl an einer Fünferposition im ZR100 (z. B. nach 65).,The child names the successor of a number at a five-position within 100 (e.g. after 65).
predecessor_zr100_five,A,predecessor,amber,Vorgänger im ZR100 (Fünferposition),Predecessor within 100 at a five-position,Das Kind nennt den Vorgänger einer Zahl an einer Fünferposition im ZR100 (z. B. vor 65).,The child names the predecessor of a number at a five-position within 100 (e.g. before 65).
successor_zr100_decade,A,successor,amber,Nachfolger an der Zehnergrenze (ZR100),Successor at a decade boundary (ZR100),Das Kind nennt den Nachfolger einer Zahl an einer Zehnergrenze im ZR100 (z. B. nach 80).,The child names the successor of a number at a decade boundary within 100 (e.g. after 80).
predecessor_zr100_decade,A,predecessor,amber,Vorgänger an der Zehnergrenze (ZR100),Predecessor at a decade boundary (ZR100),Das Kind nennt den Vorgänger einer Zahl an einer Zehnergrenze im ZR100 (z. B. vor 80).,The child names the predecessor of a number at a decade boundary within 100 (e.g. before 80).
skip2_forward_zr20,A,skip2_forward,amber,Zweierschritte vorwärts im ZR20,Skip-count forward by 2 within 20,Das Kind zählt im ZR20 vorwärts in Zweierschritten.,The child counts forward in steps of two within 20.
skip2_backward_zr20,A,skip2_backward,amber,Zweierschritte rückwärts im ZR20,Skip-count backward by 2 within 20,Das Kind zählt im ZR20 rückwärts in Zweierschritten.,The child counts backward in steps of two within 20.
skip2_forward_zr100,A,skip2_forward,amber,Zweierschritte vorwärts im ZR100,Skip-count forward by 2 within 100,Das Kind zählt im ZR100 vorwärts in Zweierschritten.,The child counts forward in steps of two within 100.
skip2_backward_zr100,A,skip2_backward,amber,Zweierschritte rückwärts im ZR100,Skip-count backward by 2 within 100,Das Kind zählt im ZR100 rückwärts in Zweierschritten.,The child counts backward in steps of two within 100.
order_cards_zr20,A,order_cards,amber,Zahlenkarten ordnen im ZR20,Order number cards within 20,Das Kind ordnet Zahlenkarten im ZR20 der Größe nach.,The child orders number cards within 20 by size.
order_cards_zr100,A,order_cards,amber,Zahlenkarten ordnen im ZR100,Order number cards within 100,Das Kind ordnet Zahlenkarten im ZR100 der Größe nach.,The child orders number cards within 100 by size.
decompose_single_digit,A,decompose,amber,Zerlegung einstelliger Zahlen (2-9),Decompose single-digit numbers (2-9),Das Kind zerlegt eine einstellige Zahl (2 bis 9) in zwei Teile.,The child decomposes a single-digit number (2 to 9) into two parts.
