ListNumber,SourceType,QuestionText,AnswerFormat,CorrectAnswer,German,English,IfWrong_practice_skills,Ifwrong_skip,Notes,SkipGroup,Zahlenraum,AudioAsset,Hilfetext
1,Text,Zähle in Zehnerschritten von der Zahl 47 an weiter. Nenne die nächsten vier Zahlen.,Single,"57, 67, 77, 87",Zähle in Zehnerschritten von der Zahl 47 an weiter. Nenne die nächsten vier Zahlen.,Count on in steps of ten from the number 47. Name the next four numbers.,"A1.3, A1.1b",,"medium; A1.3 Zählen in Schritten (2er, 5er, 10er) vor- und rückwärts — Zehnerschritte vorwärts",,ZR100,,
2,Text,Zähle vorwärts von 86 bis 94.,Single,"86, 87, 88, 89, 90, 91, 92, 93, 94",Zähle vorwärts von 86 bis 94.,Count forward from 86 to 94.,"A1.5, A1.1b",,medium; A1.5 Zählen über den Zehnerübergang hinweg — vorwärts,,ZR100,,
3,Text,Zähle rückwärts in Fünferschritten von 60 bis 35.,Single,"60, 55, 50, 45, 40, 35",Zähle rückwärts in Fünferschritten von 60 bis 35.,Count backwards in steps of five from 60 to 35.,"A1.3, A1.2b",,"hard; A1.3 Zählen in Schritten (2er, 5er, 10er) vor- und rückwärts — Fünferschritte rückwärts",,ZR100,,
4,Image,DDA-04,Single,7,Wie viele Felder sind gefüllt?,Here is a ten-frame. Some boxes are filled. You may look as long as you like. How many boxes are filled?,"A2.2, A2.1",,medium; A2.2 Strukturierte Anzahlerfassung bis 10 — Zehnerfeld 5+2,,ZR10,,"Hier ist ein Zehnerfeld. Einige Felder sind gefüllt. Du darfst so lange schauen, wie du möchtest."
5,Image,DDA-05,Single,9,Wie viele Perlen sind links?,Here you see a counting board with two rods. Some beads are pushed to the left. How many beads are on the left?,"A2.2, A2.1",,medium; A2.2 Strukturierte Anzahlerfassung bis 10 — Rekenrek 5+4,,ZR10,,Hier siehst du ein Rechenbrett mit zwei Stäben. Einige Perlen sind nach links geschoben.
6,Image,DDA-06,Single,Links sind mehr Perlen; es sind 3 mehr.,Auf welchem Brett sind mehr Perlen? Wie viele mehr?,Here lie two counting boards. On which board are more beads? How many more?,"A2.3, A2.2",,hard; A2.3 Anzahlvergleich / mehr-weniger — mit strukturierter Darstellung,,ZR10,,Hier liegen zwei Rechenbretter nebeneinander.
7,Text,Finde drei verschiedene Zerlegungen der Zahl 9. Schreib sie so auf: 9 = ___ + ___.,Multiple,"Drei verschiedene Zerlegungen der 9 in zwei natürliche Zahlen, z. B. 9 = 1 + 8, 9 = 2 + 7, 9 = 3 + 6 (oder 9 = 4 + 5).",Finde drei verschiedene Zerlegungen der Zahl 9. Schreib sie so auf: 9 = ___ + ___.,Find three different decompositions of the number 9. Write them like this: 9 = ___ + ___.,"A3.2, A3.1",,medium; A3.2 Zerlegungen einer Zahl flexibel finden — Zerlegungen der 9,,ZR10,,
8,Text,Die Zahl 7 besteht aus 3 und noch einer Zahl. Wie heißt die andere Zahl?,Single,4,Die Zahl 7 besteht aus 3 und noch einer Zahl. Wie heißt die andere Zahl?,The number 7 consists of 3 and another number. What is the other number?,"A3.1, A3.2",,medium; A3.1 Teil-Teil-Ganzes in ZR10 — Ergänzen zum Ganzen,,ZR10,,
9,Text,"Du weißt: 5 und 5 sind 10. Wie viel sind dann 5 und 6? Erkläre kurz, wie du darauf kommst.",Single,11,"Du weißt: 5 und 5 sind 10. Wie viel sind dann 5 und 6? Erkläre kurz, wie du darauf kommst.",You know: 5 and 5 are 10. What are 5 and 6 then? Briefly explain how you get it.,"A3.3, C1.2",,"hard; A3.3 Zahlbeziehungen (Verdopplungen, Nachbarzahlen) — Nachbaraufgabe 5+5 → 5+6",,ZR10,,
10,Text,"Wenn du die Zahl 6 verdoppelst, welche Zahl bekommst du? Und welches ist dann die Hälfte von 12?",Single,12 und 6.,"Wenn du die Zahl 6 verdoppelst, welche Zahl bekommst du? Und welches ist dann die Hälfte von 12?","If you double the number 6, which number do you get? And what is half of 12 then?","A3.3, C1.2, C1.3",,"hard; A3.3 Zahlbeziehungen (Verdopplungen, Halbierungen) — Doppeltes und Hälfte als Umkehrung",,ZR20,,
